,Referee,B365H,B365D,B365A,HICT,AICT,DifICT,Result
169,J Moss,1.72,3.8,4.75,8671.300000000001,7960.900000000001,710.4000000000005,2.0
170,M Atkinson,5.25,3.8,1.65,8194.1,8867.500000000002,-673.4000000000015,0.0
171,K Friend,1.8,3.9,4.2,8363.3,8036.899999999999,326.40000000000055,0.0
172,C Kavanagh,1.18,7.5,13.0,9219.000000000002,8366.7,852.3000000000011,2.0
173,G Scott,8.0,4.75,1.4,7822.4,8352.100000000002,-529.7000000000025,0.0
174,D England,1.9,3.4,4.2,8010.699999999999,7647.900000000001,362.79999999999836,2.0
175,C Pawson,6.5,4.75,1.44,8034.299999999999,8832.9,-798.6000000000004,1.0
176,M Oliver,8.0,5.5,1.33,8468.2,9116.8,-648.5999999999985,2.0
177,D England,3.4,3.6,2.1,7874.900000000001,8391.800000000001,-516.9000000000005,0.0
178,P Tierney,1.65,3.75,5.5,8078.799999999999,7708.4000000000015,370.3999999999978,2.0
179,A Taylor,3.75,3.5,2.0,8001.099999999999,8456.099999999997,-454.99999999999727,1.0
180,D Coote,19.0,8.0,1.14,7708.6,9181.800000000001,-1473.2000000000007,0.0
181,M Dean,1.4,4.5,7.5,8903.6,7969.300000000001,934.2999999999993,1.0
